iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
85	0.07305893679	1	0.9897032102	0.9942857143	0.9438202247	0.9747530187	0.9649717514	0.9651531151	0.936416185	0.9781512605	0.9816513761
86	0.07280300831	1	0.9900090827	0.9942857143	0.9438202247	0.9747530187	0.9660633484	0.9651531151	0.936416185	0.9781512605	0.9816513761
87	0.07242002407	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
88	0.0719254445	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
89	0.07127072711	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
90	0.07090033531	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
91	0.07045078898	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9360465116	0.9797979798	0.9816513761
92	0.07031513919	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9360465116	0.9797979798	0.9816513761
93	0.07003908456	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9360465116	0.9797979798	0.9816513761
94	0.06970850384	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9360465116	0.9797979798	0.9816513761
95	0.06914076584	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
96	0.06910375212	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9651531151	0.9360465116	0.9781512605	0.9816513761
97	0.06814938308	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9656992084	0.9421965318	0.981450253	0.9816513761
98	0.06753373248	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9656992084	0.9421965318	0.981450253	0.9816513761
99	0.06739871643	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9656992084	0.9421965318	0.981450253	0.9816513761
100	0.0667128525	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9391304348	0.981450253	0.9816513761
101	0.06654983214	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9656992084	0.9421965318	0.981450253	0.9816513761
102	0.06609390365	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9662447257	0.9391304348	0.9831081081	0.9816513761
103	0.06566172006	1	0.9900090827	0.993930739	0.9440715884	0.9747530187	0.9648924122	0.9656992084	0.9391304348	0.981450253	0.9816513761
104	0.06497611898	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9421965318	0.9831081081	0.9816513761
105	0.064680862	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9421965318	0.9831081081	0.9816513761
106	0.06424135037	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9421965318	0.9831081081	0.9816513761
107	0.064168326	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9452449568	0.9847715736	0.9816513761
108	0.06372293067	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9421965318	0.9831081081	0.9816513761
109	0.0636544211	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9452449568	0.9847715736	0.9816513761
110	0.06355150978	1	0.9900090827	0.993930739	0.9461883408	0.9747530187	0.9648924122	0.9662447257	0.9452449568	0.9847715736	0.9816513761
111	0.0630389672	1	0.9900090827	0.9946409432	0.9461883408	0.9747530187	0.9660633484	0.9662447257	0.9452449568	0.9864864865	0.9816513761
112	0.0627442076	1	0.9900090827	0.9946409432	0.9461883408	0.9747530187	0.9660633484	0.9662447257	0.9452449568	0.9864864865	0.9816513761
113	0.06216423274	1	0.9900090827	0.9946409432	0.9461883408	0.9747530187	0.9660633484	0.9667896679	0.9452449568	0.9881556684	0.9816513761
114	0.06181112219	1	0.9900090827	0.9942857143	0.9461883408	0.9747530187	0.9648924122	0.9667896679	0.9452449568	0.9881556684	0.9816513761
115	0.0616653065	1	0.9900090827	0.9942857143	0.9485458613	0.9747530187	0.9648924122	0.9667896679	0.9479768786	0.9881556684	0.9816513761
116	0.06126424443	1	0.9900090827	0.9946409432	0.9461883408	0.9747530187	0.9660633484	0.9667896679	0.9452449568	0.9881556684	0.9816513761
117	0.06122159702	1	0.9900090827	0.9946409432	0.9483146067	0.9747530187	0.9660633484	0.9667896679	0.9482758621	0.9881556684	0.9816513761
118	0.06047931803	1	0.9906202723	0.9946409432	0.9461883408	0.9747530187	0.9660633484	0.9678100264	0.9452449568	0.9881556684	0.9816513761
119	0.06003192267	1	0.99031477	0.9946409432	0.9440715884	0.9747530187	0.9660633484	0.9672995781	0.9421965318	0.9881556684	0.9816513761
120	0.05963407654	1	0.99031477	0.9946409432	0.9440715884	0.9747530187	0.9660633484	0.9672995781	0.9421965318	0.9881556684	0.9816513761
121	0.05943778243	1	0.99031477	0.9946409432	0.9461883408	0.9747530187	0.9672316384	0.9672995781	0.9452449568	0.9881556684	0.9861751152
122	0.05892027909	1	0.99031477	0.995	0.9461883408	0.9747530187	0.9683257919	0.9672995781	0.9452449568	0.9881556684	0.9861751152
123	0.05880832222	1	0.99031477	0.995	0.9485458613	0.9747530187	0.9683257919	0.9672995781	0.9479768786	0.9881556684	0.9861751152
124	0.05817389795	1	0.9912307227	0.995	0.9461883408	0.9747530187	0.9683257919	0.9688325409	0.9452449568	0.9881556684	0.9861751152
125	0.05773850532	1	0.9906202723	0.9953554841	0.9438202247	0.9747530187	0.9694915254	0.9678100264	0.9425287356	0.9881556684	0.9861751152
126	0.05738981882	1	0.9906202723	0.995	0.9438202247	0.9747530187	0.9683257919	0.9678100264	0.9425287356	0.9881556684	0.9861751152
127	0.05704631614	1	0.9909255898	0.995	0.9438202247	0.9747530187	0.9683257919	0.9683210137	0.9455587393	0.9898305085	0.9861751152
128	0.05690092225	1	0.9909255898	0.9953554841	0.9438202247	0.9747530187	0.9694915254	0.9683210137	0.9455587393	0.9898305085	0.9861751152
129	0.05686564573	1	0.9909255898	0.9953554841	0.9438202247	0.9747530187	0.9694915254	0.9683210137	0.9455587393	0.9898305085	0.9861751152
130	0.05669282901	1	0.9909255898	0.9953554841	0.9459459459	0.9747530187	0.9694915254	0.9683210137	0.9485714286	0.9898305085	0.9861751152
131	0.05663035211	1	0.9909255898	0.9953554841	0.9480812641	0.9747530187	0.9694915254	0.9683210137	0.9515669516	0.9898305085	0.9861751152
132	0.05614334152	1	0.9912307227	0.9953554841	0.9483146067	0.9747530187	0.9694915254	0.9688325409	0.9512893983	0.9898305085	0.9861751152
133	0.05596804939	1	0.9912307227	0.9957112223	0.9483146067	0.9747530187	0.9706546275	0.9688325409	0.9512893983	0.9898305085	0.9861751152
134	0.05550305451	1	0.9912307227	0.9953554841	0.9483146067	0.9747530187	0.9694915254	0.9688325409	0.9512893983	0.9898305085	0.9861751152
135	0.0553114587	1	0.9912307227	0.9953554841	0.9483146067	0.9747530187	0.9694915254	0.9688325409	0.9512893983	0.9898305085	0.9861751152
136	0.05529164476	1	0.9912307227	0.9953554841	0.9483146067	0.9747530187	0.9694915254	0.9688325409	0.9512893983	0.9898305085	0.9861751152
137	0.05494208463	1	0.9912307227	0.9953554841	0.9483146067	0.9747530187	0.9694915254	0.9688325409	0.9512893983	0.9898305085	0.9861751152
138	0.05467738576	1	0.9912307227	0.9957112223	0.9483146067	0.9747530187	0.9706546275	0.9688325409	0.9512893983	0.9898305085	0.9861751152
139	0.05444818148	1	0.9915356711	0.9957112223	0.9506726457	0.9747530187	0.9706546275	0.9693446089	0.9540229885	0.9898305085	0.9861751152
140	0.05430744302	1	0.9915356711	0.9957112223	0.9461883408	0.9747530187	0.9706546275	0.9693446089	0.9482758621	0.9898305085	0.9861751152
141	0.05404334452	1	0.9918404352	0.995352163	0.9485458613	0.9747530187	0.9695603157	0.9698572184	0.9510086455	0.9898305085	0.9861751152
142	0.05341821599	1	0.9921450151	0.9957112223	0.9506726457	0.9747530187	0.9706546275	0.9703703704	0.9540229885	0.9898305085	0.9861751152
143	0.0531386034	1	0.9930576517	0.9957112223	0.9506726457	0.9747530187	0.9706546275	0.9719130896	0.9540229885	0.9898305085	0.9861751152
144	0.05299045861	1	0.9927536232	0.9957112223	0.9483146067	0.9747530187	0.9706546275	0.9713983051	0.9512893983	0.9898305085	0.9861751152
145	0.05295708259	1	0.9927536232	0.9960672149	0.9483146067	0.9747530187	0.9706546275	0.9713983051	0.9542857143	0.9898305085	0.9861751152
146	0.05249235349	1	0.9930576517	0.9957112223	0.9483146067	0.9747530187	0.9706546275	0.9719130896	0.9512893983	0.9898305085	0.9861751152
147	0.05235109906	1	0.9933614967	0.9957112223	0.9483146067	0.9747530187	0.9706546275	0.9724284199	0.9512893983	0.9898305085	0.9861751152
148	0.05228464178	1	0.9933614967	0.9957112223	0.9506726457	0.9747530187	0.9706546275	0.9729442971	0.9512893983	0.9898305085	0.9861751152
149	0.052100439	1	0.9933614967	0.9957112223	0.9506726457	0.9747530187	0.9706546275	0.9729442971	0.9512893983	0.9898305085	0.9861751152
150	0.05186141182	1	0.9933614967	0.9960672149	0.9506726457	0.9747530187	0.9706546275	0.9729442971	0.9542857143	0.9898305085	0.9861751152
151	0.05159290967	1	0.9936651584	0.9960672149	0.9506726457	0.9747530187	0.9706546275	0.9734607219	0.9542857143	0.9898305085	0.9861751152
152	0.05119748664	1	0.9936651584	0.9960672149	0.9553571429	0.9747530187	0.9706546275	0.9739776952	0.9570200573	0.9898305085	0.9861751152
153	0.05083902344	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9706546275	0.9750132908	0.9540229885	0.9898305085	0.9908256881
154	0.05080338489	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9706546275	0.9750132908	0.9540229885	0.9898305085	0.9908256881
155	0.05058390346	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9718151071	0.9755319149	0.9540229885	0.9898305085	0.9908256881
156	0.05049413297	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9718151071	0.9755319149	0.9540229885	0.9898305085	0.9908256881
157	0.05034615814	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9718151071	0.9755319149	0.9540229885	0.9898305085	0.9908256881
158	0.05025275235	1	0.9939686369	0.9960672149	0.9532293987	0.9747530187	0.9718151071	0.9755319149	0.9540229885	0.9898305085	0.9908256881
159	0.04990846285	1	0.9939686369	0.9960672149	0.9532293987	0.975877193	0.9718151071	0.9755319149	0.9540229885	0.9915110357	0.9908256881
160	0.0497820776	1	0.9939686369	0.9960672149	0.9532293987	0.975877193	0.9718151071	0.9755319149	0.9540229885	0.9915110357	0.9908256881
161	0.0497597624	1	0.9939686369	0.9960672149	0.9553571429	0.975877193	0.9718151071	0.9755319149	0.9570200573	0.9915110357	0.9908256881
